date,oid,total
'2019-10-09T23:56:00Z',b84375ed29d04bf4a90200ca0770297165b0b7cd,10
'2019-09-25T06:10:01Z',f06f9daf299b4f9611b2ad3d17baa541d4f02fe1,9
'2019-09-24T20:53:48Z',a8e97b9a5f96bc4787db0b40a1cc872d1e4fb939,8
'2019-09-24T20:46:00Z',aea0da2aa2e2c0a0438d3800a7cf8039e65df5a5,7
'2019-09-24T20:39:30Z',0199bd1ebac53b1421b61ec4737c5b372b8cfcdb,6
'2019-09-18T16:49:40Z',2dca43a6b18048cf56183ee2042bd280c6b5f0d6,5
'2019-09-18T16:49:38Z',0848d29c4ab0b68605f69c0d9a96283af50c6d70,4
'2019-09-11T16:35:29Z',96dcda69d6215a94f7f51518d0e8e24f7cff6cbd,3
'2019-09-11T16:34:58Z',659ce9625f7e76479db1456597ae70e5536f7268,2
'2019-09-11T16:30:17Z',5d8780a5db494bdb30dc59bc3525056d16a3a601,1
